first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type
trep,trep,r,tret,,,tret,control,r,,3,t,p,trep,2,4,pseudo
tuélment,tuélrent,rs,tuél,,ment,tuélment,target,s,0.0,0,m,r,tuélrent,1,8,pseudo
redédicige,redédicage,pprs,dic,re_dé,age,redédicage,target,s,0.0,0,a,i,redédicige,3,10,pseudo
nuslaisem,naslaisem,rss,nas,,la_isem,naslaisem,control,r,,1,a,u,nuslaisem,3,9,pseudo
milisletié,milisletié,prss,lif,mi,le_tié,milifletié,control,r,,2,f,s,milisletié,2,10,pseudo
pourplem,tourplem,pr,plem,pour,,pourplem,target,p,0.0,0,p,t,tourplem,1,8,pseudo
enlémade,enlémade,prs,lém,en,ade,enlémade,target,s,0.0,0,a,u,enlémude,0,8,pseudo
enédroif,enédroif,ppr,roif,er_éd,,erédroif,control,p,0.0,1,r,n,enédroif,2,8,pseudo
redéném,redélém,ppr,lém,re_dé,,redélém,target,r,,0,l,n,redéném,3,7,pseudo
trévionney,trévionnel,rss,trév,,ionn_el,trévionnel,target,s,1.0,1,l,y,trévionney,3,10,pseudo
préjurmeng,préjurment,prs,jur,pré,ment,préjurment,target,s,0.0,3,t,g,préjurmeng,3,10,pseudo
osuvérp,osuvért,pr,vért,osu,,osuvért,control,r,,3,t,p,osuvérp,3,7,pseudo
trus,crus,r,crus,,,crus,target,r,,0,c,t,trus,3,4,pseudo
redébulage,redébulage,pprs,bul,re_dé,age,redébulage,target,s,0.0,2,e,i,redébulagi,0,10,pseudo
trévique,tréviqua,rs,trév,,ique,trévique,target,s,0.0,3,e,a,tréviqua,1,8,pseudo
refilation,refilation,prss,fil,re,at_ion,refilation,target,p,0.0,1,e,a,rafilation,0,10,pseudo
enfilalité,infilalité,prss,fil,in,al_ité,infilalité,target,p,0.0,0,i,e,enfilalité,3,10,pseudo
redéjurage,redéjurage,pprs,jur,re_dé,age,redéjurage,target,s,0.0,0,a,e,redéjurege,0,10,pseudo
édrounalqe,édrounalbe,prs,roun,éd,albe,édrounalbe,control,s,0.0,2,b,q,édrounalqe,3,10,pseudo
surtequi,surcequi,rs,surc,,equi,surcequi,control,r,,3,c,t,surtequi,3,8,pseudo
roof,roif,r,roif,,,roif,control,r,,2,i,o,roof,3,4,pseudo
rusnemel,rusnemél,ppr,mél,rus_ne,,rusnemél,control,r,,1,é,e,rusnemel,3,8,pseudo
rustroc,rustroc,pr,troc,rus,,rustroc,control,p,0.0,1,u,a,rastroc,0,7,pseudo
rièrvitié,rièrvitié,rss,rièn,,vi_tié,riènvitié,control,r,,3,n,r,rièrvitié,2,9,pseudo
malcert,molcert,pr,cert,mal,,malcert,target,p,0.0,1,a,o,molcert,1,7,pseudo
bul,bum,r,bul,,,bul,target,r,,2,l,m,bum,1,3,pseudo
sédnelasra,sédnelasre,pprs,las,séd_ne,re,sédnelasre,control,s,0.0,1,e,a,sédnelasra,3,10,pseudo
vértlaisem,vértlaisem,rss,vért,,la_isem,vértlaisem,control,r,,0,v,q,qértlaisem,0,10,pseudo
injuranité,injuranité,prss,jur,in,al_ité,injuralité,target,s,0.0,1,l,n,injuranité,2,10,pseudo
prédénour,préténour,ppr,nour,pré_dé,,prédénour,target,p,1.0,0,d,t,préténour,1,9,pseudo
treceseu,treceseu,rs,trec,,eseu,treceseu,control,s,0.0,0,e,a,trecaseu,0,8,pseudo
nilanslo,nilanslo,prs,lans,ni,le,nilansle,control,s,0.0,1,e,o,nilanslo,2,8,pseudo
nimacacne,nimacacne,prs,mac,ni,acne,nimacacne,control,s,0.0,1,c,v,nimacavne,0,9,pseudo
tôlc,tôlc,r,tôlc,,,tôlc,control,r,,2,l,r,tôrc,0,4,pseudo
érperred,érperred,ppr,rid,érp_er,,érperrid,control,r,,1,i,e,érperred,2,8,pseudo
sécnelubre,sédnelubre,pprs,lub,séd_ne,re,sédnelubre,control,p,0.0,2,d,c,sécnelubre,3,10,pseudo
loudfi,louvfi,rs,loud,,fi,loudfi,control,r,,3,d,v,louvfi,1,6,pseudo
réplas,réples,pr,las,rép,,réplas,control,r,,1,a,e,réples,1,6,pseudo
rièninnole,rièninnole,rss,rièn,,inno_le,rièninnole,control,r,,1,i,é,réèninnole,0,10,pseudo
erfodtaoin,erfodtaoin,prss,fod,er,ta_oin,erfodtaoin,control,r,,2,d,q,erfoqtaoin,0,10,pseudo
foir,foiy,r,foir,,,foir,target,r,,3,r,y,foiy,1,4,pseudo
dystron,dystron,pr,tron,dys,,dystron,target,p,0.0,1,y,n,dnstron,0,7,pseudo
nimoqufi,nimoqufi,prs,roqu,ni,fi,niroqufi,control,r,,0,r,m,nimoqufi,2,8,pseudo
nounequi,nounequi,rs,roun,,equi,rounequi,control,r,,0,r,n,nounequi,2,8,pseudo
